essay_id,prediction_id,essay_set,rater1,rater2,combined,winner
2383,2383,1,4,4,8,9
2384,2384,1,6,5,11,11
2385,2385,1,3,3,6,6
2386,2386,1,4,5,9,10
2387,2387,1,4,4,8,9
2388,2388,1,4,5,9,11
2389,2389,1,4,4,8,8
2390,2390,1,3,3,6,6
2391,2391,1,4,4,8,8
2392,2392,1,4,4,8,9
2393,2393,1,5,5,10,11
2394,2394,1,3,3,6,5
2395,2395,1,5,6,11,10
2396,2396,1,5,5,10,10
2397,2397,1,5,5,10,11
2398,2398,1,4,6,10,9
2399,2399,1,5,4,9,9
2400,2400,1,4,4,8,7
2401,2401,1,4,4,8,8
2402,2402,1,5,6,11,11
2403,2403,1,5,5,10,10
2404,2404,1,4,4,8,8
2405,2405,1,5,5,10,10
2406,2406,1,5,4,9,9
2407,2407,1,4,3,7,7
2408,2408,1,3,3,6,6
2409,2409,1,4,4,8,8
2410,2410,1,5,5,10,11
2411,2411,1,4,4,8,7
2412,2412,1,4,4,8,9
2413,2413,1,6,5,11,12
2414,2414,1,4,4,8,8
2415,2415,1,4,4,8,8
2416,2416,1,3,3,6,8
2417,2417,1,4,4,8,8
2418,2418,1,5,5,10,11
2419,2419,1,5,4,9,8
2420,2420,1,5,5,10,10
2421,2421,1,4,4,8,8
2422,2422,1,4,4,8,8
2423,2423,1,4,5,9,8
2424,2424,1,4,4,8,9
2425,2425,1,5,5,10,11
2426,2426,1,4,5,9,10
2427,2427,1,5,5,10,9
2428,2428,1,4,4,8,9
2429,2429,1,5,5,10,11
2430,2430,1,4,4,8,9
2431,2431,1,3,3,6,6
2432,2432,1,3,3,6,6
2433,2433,1,4,4,8,9
2434,2434,1,3,4,7,7
2435,2435,1,5,5,10,11
2436,2436,1,4,4,8,8
2437,2437,1,5,6,11,10
2438,2438,1,4,4,8,10
2439,2439,1,5,5,10,10
2440,2440,1,4,4,8,9
2441,2441,1,4,4,8,9
2442,2442,1,5,4,9,9
2443,2443,1,5,4,9,9
2444,2444,1,4,4,8,7
2445,2445,1,4,5,9,10
2446,2446,1,4,4,8,9
2447,2447,1,4,4,8,8
2448,2448,1,4,4,8,8
2449,2449,1,5,4,9,9
2450,2450,1,5,5,10,10
2451,2451,1,3,2,5,7
2452,2452,1,4,5,9,9
2453,2453,1,4,4,8,8
2454,2454,1,4,4,8,9
2455,2455,1,4,4,8,8
2456,2456,1,4,5,9,9
2457,2457,1,6,6,12,11
2458,2458,1,5,5,10,9
2459,2459,1,4,4,8,9
2460,2460,1,5,5,10,11
2461,2461,1,4,4,8,9
2462,2462,1,5,4,9,8
2463,2463,1,4,4,8,8
2464,2464,1,5,5,10,10
2465,2465,1,4,4,8,9
2466,2466,1,4,5,9,9
2467,2467,1,5,5,10,11
2468,2468,1,6,5,11,10
2469,2469,1,5,5,10,9
2470,2470,1,6,5,11,10
2471,2471,1,4,4,8,9
2472,2472,1,4,4,8,8
2473,2473,1,4,4,8,9
2474,2474,1,3,3,6,7
2475,2475,1,4,4,8,8
2476,2476,1,4,4,8,8
2477,2477,1,5,5,10,9
2478,2478,1,4,4,8,9
2479,2479,1,4,4,8,9
2480,2480,1,4,4,8,8
2481,2481,1,4,3,7,8
2482,2482,1,6,5,11,10
2483,2483,1,6,5,11,11
2484,2484,1,5,5,10,10
2485,2485,1,4,4,8,9
2486,2486,1,5,4,9,9
2487,2487,1,5,5,10,10
2488,2488,1,5,6,11,10
2489,2489,1,4,4,8,7
2490,2490,1,4,4,8,9
2491,2491,1,4,3,7,7
2492,2492,1,5,4,9,10
2493,2493,1,4,4,8,9
2494,2494,1,4,4,8,8
2495,2495,1,6,4,10,7
2496,2496,1,3,4,7,8
2497,2497,1,3,3,6,7
2498,2498,1,5,5,10,10
2499,2499,1,5,4,9,9
2500,2500,1,4,4,8,9
2501,2501,1,4,4,8,9
2502,2502,1,4,4,8,9
2503,2503,1,4,4,8,9
2504,2504,1,4,4,8,8
2505,2505,1,4,4,8,9
2506,2506,1,4,4,8,5
2507,2507,1,3,3,6,5
2508,2508,1,6,4,10,10
2509,2509,1,4,5,9,8
2510,2510,1,4,5,9,10
2511,2511,1,3,3,6,6
2512,2512,1,5,5,10,9
2513,2513,1,4,5,9,9
2514,2514,1,3,4,7,7
2515,2515,1,3,4,7,8
2516,2516,1,5,5,10,10
2517,2517,1,4,4,8,8
2518,2518,1,4,4,8,8
2519,2519,1,4,4,8,8
2520,2520,1,4,5,9,10
2521,2521,1,3,4,7,7
2522,2522,1,5,5,10,10
2523,2523,1,4,4,8,7
2524,2524,1,4,4,8,8
2525,2525,1,5,5,10,10
2526,2526,1,4,4,8,8
2527,2527,1,4,4,8,9
2528,2528,1,5,5,10,11
2529,2529,1,5,5,10,9
2530,2530,1,4,4,8,8
2531,2531,1,5,4,9,10
2532,2532,1,5,5,10,10
2533,2533,1,4,4,8,7
2534,2534,1,4,4,8,9
2535,2535,1,4,4,8,8
2536,2536,1,3,3,6,6
2537,2537,1,5,4,9,9
2538,2538,1,4,4,8,9
2539,2539,1,4,5,9,8
2540,2540,1,4,4,8,8
2541,2541,1,4,4,8,8
2542,2542,1,4,4,8,9
2543,2543,1,4,5,9,8
2544,2544,1,6,5,11,11
2545,2545,1,4,4,8,8
2546,2546,1,4,4,8,8
2547,2547,1,4,4,8,8
2548,2548,1,4,3,7,7
2549,2549,1,5,4,9,9
2550,2550,1,5,4,9,9
2551,2551,1,5,5,10,11
2552,2552,1,6,4,10,10
2553,2553,1,4,4,8,8
2554,2554,1,3,3,6,6
2555,2555,1,4,5,9,9
2556,2556,1,5,5,10,9
2557,2557,1,3,3,6,7
2558,2558,1,3,3,6,7
2559,2559,1,5,5,10,10
2560,2560,1,4,4,8,10
2561,2561,1,4,5,9,8
2562,2562,1,4,5,9,8
2563,2563,1,4,4,8,11
2564,2564,1,5,5,10,10
2565,2565,1,3,3,6,6
2566,2566,1,4,5,9,9
2567,2567,1,5,5,10,12
2568,2568,1,4,5,9,9
2569,2569,1,4,4,8,10
2570,2570,1,4,4,8,9
2571,2571,1,6,6,12,11
2572,2572,1,6,5,11,9
2573,2573,1,4,4,8,8
2574,2574,1,5,5,10,10
2575,2575,1,4,4,8,9
2576,2576,1,6,6,12,10
2577,2577,1,4,4,8,9
2578,2578,1,5,6,11,10
2579,2579,1,4,4,8,9
2580,2580,1,5,5,10,10
2581,2581,1,5,6,11,11
2582,2582,1,4,4,8,9
2583,2583,1,4,3,7,9
2584,2584,1,4,5,9,10
2585,2585,1,4,4,8,9
2586,2586,1,6,5,11,10
2587,2587,1,5,5,10,11
2588,2588,1,4,4,8,8
2589,2589,1,4,4,8,8
2590,2590,1,5,5,10,9
2591,2591,1,5,5,10,8
2592,2592,1,5,5,10,10
2593,2593,1,5,4,9,9
2594,2594,1,6,5,11,10
2595,2595,1,5,4,9,9
2596,2596,1,5,4,9,10
2597,2597,1,4,4,8,7
2598,2598,1,4,4,8,9
2599,2599,1,2,2,4,6
2600,2600,1,5,5,10,9
2601,2601,1,6,5,11,10
2602,2602,1,4,4,8,8
2603,2603,1,4,5,9,9
2604,2604,1,4,4,8,9
2605,2605,1,4,4,8,8
2606,2606,1,4,4,8,8
2607,2607,1,4,3,7,6
2608,2608,1,4,4,8,8
2609,2609,1,4,6,10,11
2610,2610,1,5,5,10,9
2611,2611,1,4,4,8,9
2612,2612,1,4,5,9,9
2613,2613,1,3,4,7,6
2614,2614,1,5,5,10,9
